QUARTER,GDPDFT,UNRATE,FEDFUNDS
2003Q4,2.5,5.833333333333333,0.9966666666666667
2004Q1,2.9,5.7,1.0033333333333332
2004Q2,3.3,5.599999999999999,1.01
2004Q3,2.6,5.433333333333334,1.4333333333333333
2004Q4,3.1,5.433333333333334,1.95
2005Q1,3.2,5.3,2.47
2005Q2,2.9,5.1000000000000005,2.9433333333333334
2005Q3,3.7,4.966666666666667,3.4599999999999995
2005Q4,3.3,4.966666666666667,3.98
2006Q1,2.9,4.733333333333333,4.456666666666667
2006Q2,3.5,4.633333333333333,4.906666666666667
2006Q3,2.8,4.633333333333334,5.246666666666667
2006Q4,1.4,4.433333333333334,5.246666666666667
2007Q1,3.9,4.5,5.256666666666667
2007Q2,2.8,4.5,5.25
2007Q3,2.2,4.666666666666667,5.073333333333333
2007Q4,1.6,4.8,4.496666666666667
